ID_Requisito,Descripcion_Funcional,Caso_Uso,Modulo_Drupal_Pantalla,Caso_Prueba,Evidencia_Implementacion,Estado
RF-01.1,Visualización de Dashboard Centralizado con KPIs clave,CU-01,zinco_dashboards,CP-FUNC-01.1,Dashboard General / Indicadores CTI,Implementado
RF-01.2.1,Filtrado y Segmentación por Municipio de Córdoba,CU-01,zinco_dashboards,CP-FUNC-01.2,Filtros de Vistas / AJAX Exposed Filters,Implementado
RF-01.2.2,Filtrado y Segmentación por Sector Económico,CU-01,zinco_dashboards,CP-FUNC-01.3,Filtros de Vistas / Taxonomía Sector,Implementado
RF-01.2.3,Filtrado y Segmentación por Tecnología 4.0,CU-01,zinco_dashboards,CP-FUNC-01.4,Filtros de Vistas / Taxonomía Tecnologías,Implementado
RF-01.3.1,Detalle de Indicadores: Actores de Innovación,CU-01,zinco_dashboards,CP-FUNC-01.5,Bloques y Gráficos de Actores CTI,Implementado
RF-01.3.2,Detalle de Indicadores: Formación Científica y Talento,CU-01,zinco_dashboards,CP-FUNC-01.6,Bloques de Talento CTeI,Implementado
RF-01.3.3,Detalle de Indicadores: Proyectos CTI en Ejecución,CU-01,zinco_dashboards,CP-FUNC-01.7,Métricas de Proyectos Departamentales,Implementado
RF-01.3.4,Detalle de Indicadores: Retos de Innovación Abierta,CU-01,zinco_dashboards,CP-FUNC-01.8,Métricas de Soluciones y Retos,Implementado
RF-01.3.5,Detalle de Indicadores: Protección Intelectual y Patentes,CU-01,zinco_dashboards,CP-FUNC-01.9,Indicadores de Propiedad Intelectual,Implementado
RF-01.3.6,Detalle de Indicadores: Desarrollo Tecnológico e Innovación (DTI),CU-01,zinco_dashboards,CP-FUNC-01.10,Indicadores DTI Minciencias,Implementado
RF-01.3.7,Detalle de Indicadores: Generación de Conocimiento CTI,CU-01,zinco_dashboards,CP-FUNC-01.11,Publicaciones y Artículos Indexados,Implementado
RF-02.1,Generación de Informes Personalizados y Reportes Ejecutivos,CU-02,zinco_reportes,CP-FUNC-02.1,PdfGeneratorService / Dompdf v3.1,Implementado
RF-02.2,"Exportación de Datos en Múltiples Formatos (PDF, CSV, Excel)",CU-02,zinco_front,CP-FUNC-02.2,DumpDataService / Views Data Export,Implementado
RF-03.1,Gestión y Catalogación de Actores de Conocimiento,CU-03,zinco_usuarios,CP-FUNC-03.1,Entidades de Perfil de Actores,Implementado
RF-03.2,Gestión y Registro de Proyectos de I+D+i,CU-03,zinco_proyectos,CP-FUNC-03.2,Entidades de Proyectos CTI,Implementado
RF-03.3,Proceso ETL Automatizado desde CvLAC y GrupLAC Minciencias,CU-03,gruplac_scraper,CP-FUNC-03.3,GruplacScraperService / Guzzle HTTP,Implementado
RF-03.4,Proceso ETL de Ingesta desde Archivos Planos y CSV,CU-03,zinco_migracion,CP-FUNC-03.4,Plugins Migrate / Carga Masiva,Implementado
RF-04.1,Gestión Integral del Banco de Retos de Innovación Abierta,CU-04,zinco_retos,CP-FUNC-04.1,Workflow de Retos / Estados,Implementado
RF-04.2,Envío y Postulación Simplificada de Retos por Empresas y Sociedad,CU-04,zinco_retos,CP-FUNC-04.2,Formularios de Postulación Pública,Implementado
RF-04.3,"Gestión de Soluciones, Evaluación y Calificación por Jurados",CU-04,zinco_retos,CP-FUNC-04.3,Módulo de Evaluación y Scoring,Implementado
RF-05.1,Visualización de Perfiles de Actores CTI de la Quíntuple Hélice,CU-05,zinco_usuarios,CP-FUNC-05.1,Páginas de Perfil Institucional,Implementado
